species,wing_length,secondary,mass
Geotrygon montana,136.5,99.2,133.9
Geotrygon mystacea,162,115.4,211
Geotrygon purpurata,134.2,99,129
Geotrygon saphirina,136.3,96.5,203
Geotrygon versicolor,155.8,110.2,225
Geotrygon violacea,143.4,95.7,95.2
Goura cristata,355.5,293,2000
Goura scheepmakeri,354.5,293.8,2235
Goura sclaterii,359,290.2,2235
Goura victoria,350.5,284.2,2384
Gymnophaps albertisii,200.2,125.2,259
Gymnophaps mada,216.5,145.5,334
Gymnophaps solomonensis,215,141.1,335
Gymnophaps stalkeri,202,134.8,334
Hemiphaga chathamensis,272,188.1,789
Hemiphaga novaeseelandiae,256.6,175.2,653
Henicophaps albifrons,192.6,139,247
Henicophaps foersteri,203,150.7,247
Leptotila cassinii,132.3,100.8,159
Leptotila conoveri,136,103.9,153.5
Leptotila jamaicensis,147,99.2,165
Leptotila megalura,150.2,111,218
Leptotila ochraceiventris,132.4,99,146
Leptotila pallida,136.2,102.1,122.8
Leptotila plumbeiceps,140.1,100.5,170
Leptotila rufaxilla,135.5,101.6,157
Leptotila verreauxi,136.7,104.6,146.9
Leptotila wellsi,138,116.4,200
Leptotrygon veraguensis,132.2,95.8,155
Leucosarcia melanoleuca,197,133.3,428.6
Lopholaimus antarcticus,277.6,172.7,496.4
Macropygia amboinensis,173.2,116.6,237
Macropygia cinnamomea,171,115.8,161
Macropygia doreya,164,116.6,237
Macropygia emiliana,171,115.8,161
Macropygia macassariensis,175.8,115.4,237
Macropygia mackinlayi,148.6,101.6,85.9
Macropygia magna,187.2,127.6,237
Macropygia modiglianii,171,115.8,161
Macropygia nigrirostris,146.5,93.3,90.1
Macropygia phasianella,175.8,115.4,237
Macropygia ruficeps,141,88.4,81.9
Macropygia rufipennis,191,119.3,256
Macropygia tenuirostris,176.2,117.6,177
Macropygia timorlaoensis,175.8,115.4,237
Macropygia unchall,174.8,110.3,168
Metriopelia aymara,116.2,70,61.8
Metriopelia ceciliae,95,70.5,55.1
Metriopelia melanoptera,130.6,80.5,100
Metriopelia morenoi,95.8,69.8,28.6
Nesoenas mayeri,208.5,146.3,302.8
Ocyphaps lophotes,160.6,96.2,204
Oena capensis,102.5,62.1,40.6
Otidiphaps nobilis,181.4,152.8,500
Paraclaravis geoffroyi,118,77,43.5
Paraclaravis mondetoura,116.9,83.5,89.7
Patagioenas araucana,210.2,132.1,270
Patagioenas caribaea,209.7,135.7,250
Patagioenas cayennensis,180.3,115.9,229
Patagioenas corensis,192,125.2,272.3
Patagioenas fasciata,205.4,131.3,366.3
Patagioenas flavirostris,186.9,123.9,270.8
Patagioenas goodsoni,148.7,97.8,176
Patagioenas inornata,209,127.5,365
Patagioenas leucocephala,190.8,126.1,240.1
Patagioenas maculosa,221.9,136,347
Patagioenas nigrirostris,162,106.3,176
Patagioenas oenops,192,123.5,264.6
Patagioenas picazuro,218.2,136.1,279
Patagioenas plumbea,177.8,115.7,178.8
Patagioenas speciosa,184.7,114,258.5
Patagioenas squamosa,210.3,134.3,312
Patagioenas subvinacea,156.3,102.7,162.5
Petrophassa albipennis,132.8,100,124.3
Petrophassa rufipennis,141.4,110.7,159
Phapitreron amethystinus,143.7,96.3,145
Phapitreron brunneiceps,137.9,87.9,146
Phapitreron cinereiceps,134.5,90.8,146
Phapitreron leucotis,124.3,82,108
Phaps chalcoptera,197.8,121.7,330.7
Phaps elegans,162.5,112.7,211.4
Phaps histrionica,196.5,110.2,289
Ptilinopus alligator,186.7,124.2,243
Ptilinopus arcanus,100,74.7,85.9
Ptilinopus aurantiifrons,128,89.2,152
Ptilinopus bernsteinii,141.3,98.2,118.5
Ptilinopus chalcurus,135,100.4,97.6
Ptilinopus cinctus,157.8,115.3,243
Ptilinopus coralensis,126,93.7,83.2
Ptilinopus coronulatus,117,83,76.6
Ptilinopus dohertyi,178,123.4,243
Ptilinopus dupetithouarsii,144.2,97.7,99.5
Ptilinopus epius,168.4,126,142
Ptilinopus eugeniae,115.2,78.9,114
Ptilinopus fischeri,167.6,122,177
Ptilinopus granulifrons,121,90,136.5
Ptilinopus greyi,114.8,78.7,82.7
Ptilinopus hernsheimi,124,88.3,105
Ptilinopus huttoni,161.7,119.8,130
Ptilinopus hyogastrus,125.8,92.9,136.5
Ptilinopus insolitus,128,89.6,136.5
Ptilinopus insularis,143.5,107.4,104
Ptilinopus iozonus,117.8,77.8,114
Ptilinopus jambu,138.4,91.9,135
Ptilinopus layardi,114.8,91.9,75.6
Ptilinopus leclancheri,141.2,94.6,164
Ptilinopus luteovirens,117,91,75
Ptilinopus magnificus,163.5,116.6,185.4
Ptilinopus mangoliensis,158.6,117.6,142
Ptilinopus marchei,177.4,144.2,326
Ptilinopus melanospilus,118.1,87.7,92
Ptilinopus merrilli,164.3,127,263
Ptilinopus monacha,95.8,67,53.9
Ptilinopus nainus,87.4,64.8,49
Ptilinopus occipitalis,157.2,116.2,238
Ptilinopus ornatus,148.7,99.7,163
Ptilinopus pelewensis,127.8,90.2,93
Ptilinopus perlatus,156.8,109.5,210
Ptilinopus perousii,128.6,93.4,93.5
Ptilinopus ponapensis,127.2,90.9,105
Ptilinopus porphyraceus,131.9,93.1,105
Ptilinopus porphyreus,145,99.7,168
Ptilinopus pulchellus,105.6,76.4,70
Ptilinopus purpuratus,141.5,99.2,97.6
Ptilinopus rarotongensis,124.5,94.6,97.6
Ptilinopus regina,126.8,89.3,101.6
Ptilinopus richardsii,127.2,90,103.9
Ptilinopus rivoli,126,90.2,149
Ptilinopus roseicapilla,122.4,87.5,90.4
Ptilinopus solomonensis,112.9,81.3,108.5
Ptilinopus subgularis,163,117.5,142
Ptilinopus superbus,132.6,91.6,118
Ptilinopus tannensis,148.5,106,208
Ptilinopus victor,116.8,87.8,81
Ptilinopus viridis,112.3,78.5,121
Ptilinopus wallacii,148.2,97.1,208
Reinwardtoena browni,228.8,145.6,304
Reinwardtoena crassirostris,203.7,136,259
Reinwardtoena reinwardti,238.2,157,275
Starnoenas cyanocephala,140.3,98,219
Streptopelia bitorquata,160.8,110,153
Streptopelia capicola,151.1,101.7,142
Streptopelia chinensis,137.7,94.9,159
Streptopelia decaocto,174.6,111.2,149
Streptopelia decipiens,167.4,115.5,134
Streptopelia dusumieri,158.7,107.6,153
Streptopelia hypopyrrha,173,111.5,162
Streptopelia lugens,172.7,109.6,155
Streptopelia orientalis,176.5,117.7,232.9
Streptopelia picturata,165.8,106.5,176.8
Streptopelia reichenowi,140.2,97,119
Streptopelia roseogrisea,159.2,96.8,155
Streptopelia semitorquata,173.1,109.5,176
Streptopelia senegalensis,132.2,86.9,82.1
Streptopelia tranquebarica,134.8,81,103
Streptopelia turtur,170.7,97.5,132
Streptopelia vinacea,136.4,88.8,110
Treron affinis,144,92.8,234
Treron apicauda,163.6,105.7,217.2
Treron aromaticus,156.8,101.4,234
Treron australis,170.4,111,229
Treron axillaris,154.8,99.1,234
Treron bicinctus,156.2,97,174
Treron calvus,162.2,100.4,197.5
Treron capellei,193.8,128.4,401.3
Treron chloropterus,172,110.1,234
Treron curvirostra,135.9,88.6,134.5
Treron floris,147.8,104.6,205.7
Treron formosae,195.1,125.8,140
Treron fulvicollis,143.4,95.4,167
Treron griseicauda,145.4,96.7,205.7
Treron griveaudi,169,106.9,229
Treron olax,118.8,79.1,77
Treron oxyurus,156.8,102.1,205.7
Treron pembaensis,169,107.8,205.7
Treron phayrei,155.8,96,187
Treron phoenicopterus,188.2,113.9,235
Treron pompadora,150.5,93.7,234
Treron psittaceus,165.8,111.3,205.7
Treron sanctithomae,170.5,110,205.7
Treron seimundi,153.6,101.5,157.8
Treron sieboldii,182.6,113.7,245
Treron sphenurus,170.7,106.7,210
Treron teysmannii,157,105.6,205.7
Treron vernans,137.4,91.2,132
Treron waalia,179.4,112.8,254
Trugon terrestris,173.5,119.4,400
Turacoena manadensis,198.7,140,208.6
Turacoena modesta,196.8,132.3,340
Turacoena sulaensis,181,140,208.6
Turtur abyssinicus,105.4,73.6,62.7
Turtur afer,105.2,75.2,65.6
Turtur brehmeri,126.4,89.7,116
Turtur chalcospilos,110.5,79.4,60.6
Turtur tympanistria,112.9,84.1,70.6
Uropelia campestris,65.2,52.2,35.2
Zenaida asiatica,160.8,104.8,153
Zenaida auriculata,136.2,91.7,110.2
Zenaida aurita,149,98.8,156
Zenaida galapagoensis,125.4,78.8,111
Zenaida graysoni,147,108.2,192
Zenaida macroura,144.4,91.6,118.9
Zenaida meloda,158,105.2,209.2
Zentrygon albifacies,141.4,105,238
Zentrygon carrikeri,146.5,112.6,267
Zentrygon chiriquensis,148.2,116.5,308
Zentrygon costaricensis,139.2,112.2,285.1
Zentrygon frenata,155.8,127.6,307
Zentrygon goldmani,141.5,115.4,258
Zentrygon lawrencii,137.5,104.1,220
Zentrygon linearis,150.5,120.3,261
Actenoides bougainvillei,128.5,104.4,188
Actenoides concretus,110.8,87,73.5
Actenoides hombroni,120.4,92.4,117
Actenoides lindsayi,106,85.1,92.8
Actenoides monachus,142.7,117.6,150
Actenoides princeps,113.3,86.1,105
Alcedo atthis,73.3,52.6,31.1
Alcedo coerulescens,59.3,45,34.9
Alcedo euryzona,82.8,62.7,43.1
Alcedo hercules,96,71,62.5
Alcedo meninting,65,47.3,20.4
Alcedo quadribrachys,77.1,57.6,34.9
Alcedo semitorquata,80.6,60.3,47.3
Caridonax fulgidus,132.5,102.6,171.8
Ceryle rudis,136.2,90,84.4
Ceyx argentatus,59.2,46.5,17.8
Ceyx azureus,74,55.4,34.9
Ceyx cajeli,62.4,49.5,21.3
Ceyx collectoris,61.8,50.8,21.3
Ceyx cyanopectus,57.5,44.8,21.5
Ceyx dispar,62.7,51.2,21.3
Ceyx erithaca,58.2,51,17.8
Ceyx fallax,58.3,45,18
Ceyx flumenicola,57.6,43.1,17.8
Ceyx gentianus,61.9,50.5,21.3
Ceyx lepidus,59.6,47.5,21.3
Ceyx malaitae,57.3,47,21.3
Ceyx margarethae,62.9,47.2,21.3
Ceyx meeki,56.9,45.8,21.3
Ceyx melanurus,57.3,45.8,22.8
Ceyx mulcatus,63.6,51.7,21.3
Ceyx nigromaxilla,57.3,47,21.3
Ceyx pallidus,56.9,45.8,21.3
Ceyx pusillus,50.8,38.6,13.3
Ceyx rufidorsa,58,48.8,17.9
Ceyx sacerdotis,58.7,48,21.3
Ceyx solitarius,52.1,41.4,21.3
Ceyx uropygialis,58.9,47.5,21.3
Ceyx wallacii,64,48.5,21.3
Ceyx websteri,89,68,61
Chloroceryle aenea,55.9,42.4,13.8
Chloroceryle amazona,130.5,93.4,126.4
Chloroceryle americana,76.8,57.3,33.7
Chloroceryle inda,97,70.8,52.1
Cittura cyanotis,107.2,80.9,147
Clytoceyx rex,165.5,132.8,242
Corythornis cristatus,55.7,44.2,15.7
Corythornis leucogaster,55.2,44.2,14.5
Corythornis madagascariensis,57,44.9,17.7
Corythornis vintsioides,59.1,46.4,17.9
Dacelo gaudichaud,130.2,97,143
Dacelo leachii,196.1,141.8,308
Dacelo novaeguineae,216.1,152.3,333.8
Dacelo tyro,148,116.2,145.9
Halcyon albiventris,100.3,79.6,65.1
Halcyon badia,92.2,71.2,57.9
Halcyon chelicuti,79.1,58.2,43.2
Halcyon coromanda,113.7,86.7,77.5
Halcyon cyanoventris,117.2,93.7,93
Halcyon gularis,120.2,93.2,91.4
Halcyon leucocephala,102.1,78.3,41.8
Halcyon malimbica,113.5,91.3,91.8
Halcyon pileata,124,94.6,84
Halcyon senegalensis,99.4,78.8,73.4
Halcyon senegaloides,105.2,82.2,61.8
Halcyon smyrnensis,113.2,88.7,91.4
Ispidina lecontei,47.7,34.8,9.5
Ispidina picta,52.3,40.3,12.7
Lacedo pulchella,81.7,63.6,47.3
Megaceryle alcyon,158.8,105,148
Megaceryle lugubris,182.4,127.2,271
Megaceryle maxima,196.8,144.3,325
Megaceryle torquata,191.3,143,317
Melidora macrorrhina,118.2,94.8,97
Pelargopsis amauroptera,139,109,162
Pelargopsis capensis,146.7,117.7,178.7
Pelargopsis melanorhyncha,147.8,114.5,193.3
Syma megarhyncha,85.4,65.5,56
Syma torotoro,79,60.5,37.7
Tanysiptera carolinae,106.5,85,50.2
Tanysiptera danae,89.8,73.5,43.5
Tanysiptera ellioti,105.6,88,50.2
Tanysiptera galatea,104.3,77.7,50
Tanysiptera hydrocharis,87,69,33
Tanysiptera nigriceps,94.8,76.4,49.6
Tanysiptera nympha,91.8,71.3,57
Tanysiptera riedelii,99.2,77.7,63.5
Tanysiptera sylvia,93.8,71.4,49.6
Todiramphus albicilla,107.3,81.3,66.1
Todiramphus albonotatus,82.2,74.7,32
Todiramphus australasia,76,56.8,43
Todiramphus chloris,107.3,81.3,66.1
Todiramphus cinnamominus,94,75,62.2
Todiramphus colonus,107.3,81.3,66.1
Todiramphus diops,84.6,59.8,47.4
Todiramphus enigma,104.3,80.1,66.1
Todiramphus farquhari,89,67.7,38.8
Todiramphus funebris,112.2,87.5,126
Todiramphus gertrudae,90,73,39
Todiramphus godeffroyi,98,78,63.4
Todiramphus lazuli,91.8,62.8,47.4
Todiramphus leucopygius,85.8,62,47.9
Todiramphus macleayii,87.8,60.8,37.3
Todiramphus nigrocyaneus,92.2,76.5,54.2
Todiramphus pelewensis,93.9,66.4,62.2
Todiramphus pyrrhopygius,100.2,63.8,51.7
Todiramphus recurvirostris,80,60.5,53
Todiramphus reichenbachii,96.7,74.9,62.2
Todiramphus ruficollaris,99,81,34.9
Todiramphus sacer,107.3,81.3,66.1
Todiramphus sanctus,91.3,64.1,53
Todiramphus saurophagus,127.8,95,126
Todiramphus sordidus,107.3,81.3,66.1
Todiramphus tristrami,107.3,81.3,66.1
Todiramphus tutus,100,81.2,42.3
Todiramphus veneratus,97,77.3,44.5
Todiramphus winchelli,97.5,73.8,67.4
Atelornis crossleyi,92.4,80.8,79
Atelornis pittoides,111.5,88.2,91.5
Brachypteracias leptosomus,137.6,109.5,185
Brachypteracias squamiger,119.8,89,155
Uratelornis chimaera,107.2,88.8,226
Coracias abyssinicus,155.2,107.5,102
Coracias affinis,190.3,137.9,157.5
Coracias benghalensis,180.1,127.9,157.5
Coracias caudatus,161.2,109.2,110
Coracias cyanogaster,173.5,122,142
Coracias garrulus,190.8,120.7,146
Coracias naevius,181.8,132,168
Coracias spatulatus,165.4,111,90.4
Coracias temminckii,183,137,153.7
Eurystomus azureus,190,130,122.8
Eurystomus glaucurus,198,112.2,110
Eurystomus gularis,148.6,84.5,96.3
Eurystomus orientalis,186.2,116.8,143
Meropogon forsteni,113,78,55
Merops albicollis,97.6,64.5,25.9
Merops americanus,116.3,69.6,37.4
Merops apiaster,143.8,78,56.6
Merops boehmi,80,58.5,16.6
Merops breweri,121.5,92.5,49.7
Merops bullockoides,111.8,84.5,34.8
Merops bulocki,100.8,74.2,23.1
Merops gularis,87.2,60.2,27.3
Merops hirundineus,94.5,59,21.7
Merops leschenaulti,106.2,62,27.2
Merops malimbicus,134.5,68,50.4
Merops mentalis,84.7,64,22.5
Merops muelleri,86.2,61.5,22.5
Merops nubicoides,152,83.3,42.4
Merops nubicus,145.2,86,42.4
Merops oreobates,99.9,73.6,24
Merops orientalis,91,59.1,14.8
Merops ornatus,108.2,66,29.5
Merops persicus,153.8,73.5,49.3
Merops philippinus,129.5,104.2,34
Merops pusillus,79.1,54,15.1
Merops revoilii,75.4,54.8,12.9
Merops superciliosus,137,70.8,38.5
Merops variegatus,90.5,62,22.5
Merops viridis,111.6,89.5,34.8
Nyctyornis amictus,119.1,101.3,71.9
Nyctyornis athertoni,135,101,84.2
Aspatha gularis,100.4,82.7,62.7
Baryphthengus martii,150.7,126.6,165
Baryphthengus ruficapillus,141.4,117.8,141.7
Electron carinatum,114.4,91.3,64.9
Electron platyrhynchum,116.3,98.3,73
Eumomota superciliosa,110.6,93.8,62.5
Hylomanes momotula,71.4,57.2,29.3
Momotus aequatorialis,154.8,126.9,158
Momotus bahamensis,129.6,108,111
Momotus coeruliceps,136.2,118.4,118
Momotus lessonii,138,114.1,115
Momotus mexicanus,115.7,97,75.7
Momotus momota,142.3,115.8,115
Momotus subrufescens,124.3,100.1,97.1
Todus angustirostris,45.8,38.8,7.5
Todus mexicanus,42.3,36.9,5.9
Todus multicolor,42.4,35.1,5.9
Todus subulatus,50.4,40.6,8.7
Todus todus,46,37.7,6.4
Cacomantis aeruginosus,112.2,68.2,35.8
Cacomantis castaneiventris,110.4,71.5,33.2
Cacomantis flabelliformis,137.2,78,49.8
Cacomantis leucolophus,174,131.2,107.2
Cacomantis merulinus,104.2,70.7,25.3
Cacomantis pallidus,186.2,94,87.7
Cacomantis passerinus,113,75.5,25.3
Cacomantis sonneratii,107.4,69.3,33.8
Cacomantis variolosus,115.4,72.9,35.8
Carpococcyx radiceus,258.6,240.8,495.7
Carpococcyx renauldi,278.6,273,400
Carpococcyx viridis,211.2,240.8,495.7
Centropus andamanensis,172.6,156,164
Centropus anselli,186.2,175.8,210
Centropus ateralbus,209.8,193.8,339
Centropus bengalensis,154.6,129.6,148.9
Centropus bernsteini,185.8,159,162.1
Centropus celebensis,181.8,166,244.4
Centropus chalybeus,195.7,176.3,244.4
Centropus chlororhynchos,165.2,150.8,244.4
Centropus cupreicaudus,211,189.5,285.2
Centropus goliath,268.8,244,499.4
Centropus grillii,159.8,126.2,122.9
Centropus leucogaster,196,183,307.8
Centropus melanops,158.8,148,221.2
Centropus menbeki,218.2,203.8,519
Centropus milo,264,244.2,769
Centropus monachus,180.7,162.3,201.3
Centropus nigrorufus,206.3,184.7,244.4
Centropus phasianinus,246.2,213.4,382
Centropus rectunguis,160,143.8,238
Centropus senegalensis,165.8,146,169
Centropus sinensis,212.4,181.9,280.7
Centropus steerii,160.5,152.5,198.4
Centropus superciliosus,157.9,135.1,148.5
Centropus toulou,155.4,137.9,166.4
Centropus unirufus,167.5,145.1,183.8
Centropus violaceus,248,226.5,500
Centropus viridis,163,140.8,142
Cercococcyx mechowi,132.8,92,55.6
Cercococcyx montanus,146.4,101,58.2
Cercococcyx olivinus,139.2,95.5,65.9
Ceuthmochares aereus,117.2,102.4,65.8
Ceuthmochares australis,121.8,102.8,65.8
Chrysococcyx basalis,99.6,59,23.1
Chrysococcyx caprius,113.4,69.6,32.8
Chrysococcyx cupreus,105.7,64.8,37.7
Chrysococcyx flavigularis,91.5,65.7,29.2
Chrysococcyx klaas,99.2,63.8,27.4
Chrysococcyx lucidus,102.8,57.6,24.4
Chrysococcyx maculatus,106.6,59.1,27.4
Chrysococcyx megarhynchus,97,68.9,31.5
Chrysococcyx meyerii,90.2,60.8,19.4
Chrysococcyx minutillus,92.6,57.8,18.6
Chrysococcyx osculans,115.2,68.8,30.9
Chrysococcyx ruficollis,95,58.8,21
Chrysococcyx xanthorhynchus,100.4,59,22.4
Clamator coromandus,159.8,117.5,74.6
Clamator glandarius,194,112.1,143
Clamator jacobinus,145.2,92.9,79.4
Clamator levaillantii,174.4,127.4,122
Coccycua cinerea,109.8,82.8,41
Coccycua minuta,105.9,90,39.3
Coccycua pumila,98,71.8,37.1
Coccyzus americanus,143.4,82.6,64
Coccyzus erythropthalmus,136.9,80.3,50.9
Coccyzus euleri,131.4,86.7,52.3
Coccyzus ferrugineus,129.6,92,70
Coccyzus lansbergi,114.8,85.8,50.3
Coccyzus longirostris,136,117.7,100
Coccyzus melacoryphus,116.3,84.3,49.7
Coccyzus merlini,167.8,147.6,169.6
Coccyzus minor,135,92.5,63.9
Coccyzus pluvialis,177.6,153.7,163
Coccyzus rufigularis,181.1,156.2,128
Coccyzus vetula,120.5,106.7,96
Coccyzus vieilloti,132,114,81.9
Coua caerulea,195.8,186.1,244
Coua coquereli,145.5,141.2,160
Coua cristata,148.8,139,147
Coua cursor,131.6,121.8,110
Coua gigas,212.6,203.2,424
Coua reynaudii,135.2,131.9,153
Coua ruficeps,164.3,153,180
Coua serriana,169.4,166.7,293
Coua verreauxi,130.2,115.6,99
Crotophaga ani,144,107.3,110.1
Crotophaga major,193.6,147.8,148.3
Crotophaga sulcirostris,129.3,103,82
Cuculus canorus,192,105.9,111.4
Cuculus clamosus,181,102.4,78.8
Cuculus crassirostris,206,147.5,88.8
Cuculus gularis,209,107.7,103
Cuculus lepidus,154.9,87.6,87
Cuculus micropterus,196.3,107,88.8
Cuculus optatus,182.6,95.3,87
Cuculus poliocephalus,154,78.9,46.6
Cuculus rochii,163.6,87,62.7
Cuculus saturatus,182.6,95.3,87
Cuculus solitarius,187.5,102.4,76.7
Dasylophus cumingi,158.2,145.8,170.5
Dasylophus superciliosus,154,138.6,123
Dromococcyx pavoninus,128.1,100,46.4
Dromococcyx phasianellus,162.8,120.6,84.5
Eudynamys melanorhynchus,204,155.2,202
Eudynamys orientalis,217.2,164.6,194.9
Eudynamys scolopaceus,196.4,136.4,194.9
Geococcyx californianus,181,172,376
Geococcyx velox,141.7,133.8,179.9
Guira guira,173.6,130.5,141
Hierococcyx bocki,179.6,122.5,151
Hierococcyx fugax,175.2,121.8,79.7
Hierococcyx hyperythrus,198.5,125.8,79.7
Hierococcyx nisicolor,176,116.2,79.7
Hierococcyx pectoralis,171.2,124.2,79.7
Hierococcyx sparverioides,235,158.5,151
Hierococcyx vagans,147.2,106.7,57.7
Hierococcyx varius,191,124,103
Microdynamis parva,104.8,84.6,47.2
Morococcyx erythropygus,99,90.8,64.5
Neomorphus geoffroyi,165.4,156.1,355
Neomorphus pucheranii,168.3,158.5,330
Neomorphus radiolosus,152,161.5,399
Neomorphus rufipennis,170.5,161.5,377.7
Neomorphus squamiger,164,143.4,355
Pachycoccyx audeberti,220.4,137.1,102.9
Phaenicophaeus curvirostris,167.9,145.7,154
Phaenicophaeus diardi,127.2,114.3,62.1
Phaenicophaeus pyrrhocephalus,154,136,91.9
Phaenicophaeus sumatranus,138.8,125.1,91.9
Phaenicophaeus tristis,165.7,141,117
Phaenicophaeus viridirostris,136,115,67
Piaya cayana,145.9,129.8,102
Piaya melanogaster,134.8,123.3,102.8
Rhamphococcyx calyorhynchus,176.1,152.8,117
Rhinortha chlorophaea,118,106.8,51.2
Scythrops novaehollandiae,339.2,184.2,684
Surniculus dicruroides,135.8,88.8,29.7
Surniculus lugubris,119,78.4,29.7
Surniculus musschenbroeki,128,90.5,29.7
Surniculus velutinus,111,83,35.6
Taccocua leschenaultii,163,147.8,174.7
Tapera naevia,106,81.3,48.4
Urodynamis taitensis,171.8,94.8,117
Zanclostomus javanicus,144.2,126.3,109
Eurypyga helias,216.5,176.2,210
Rhynochetos jubatus,264.3,227.2,860
Caracara plancus,380,276.8,1078.6
Daptrius ater,310.7,215.2,351.8
Falco alopex,280.4,139.4,273.9
Falco amurensis,234.2,110.2,141.9
Falco araeus,151.8,83.2,79.8
Falco ardosiaceus,229.2,121.2,234.2
Falco berigora,340.2,167,587
Falco biarmicus,330.8,165.2,606.1
Falco cenchroides,249.4,115.2,170.5
Falco cherrug,378.5,191.8,961.2
Falco chicquera,204.1,107.4,208
Falco columbarius,199.6,103.5,188.5
Falco concolor,269,106.5,250
Falco cuvierii,226.6,94.5,182.2
Falco deiroleucus,256.2,155,459.6
Falco dickinsoni,221,105.8,209
Falco eleonorae,311.9,140.4,390
Falco fasciinucha,208.2,87.8,254.7
Falco femoralis,245.1,139.7,335.8
Falco hypoleucos,307.4,149.5,457.2
Falco jugger,331.4,160.8,755
Falco longipennis,255,103.5,249.8
Falco mexicanus,325,163.2,713.1
Falco moluccensis,224,111.3,162
Falco naumanni,229.3,105.7,152.1
Falco newtoni,188.6,95.7,123.4
Falco novaeseelandiae,262.2,160.2,418.6
Falco peregrinus,314.7,152.6,760
Falco punctatus,179.4,115.8,167.4
Falco rufigularis,198.8,118.7,163.6
Falco rupicoloides,276.2,137.1,261
Falco rupicolus,237.5,116.6,183.2
Falco rusticolus,368,193.2,1431.7
Falco severus,217.4,90.8,200.6
Falco sparverius,182.4,100.1,114.6
Falco subbuteo,260.7,110,208.2
Falco subniger,374.8,192.8,776
Falco tinnunculus,241.8,118.8,183.2
Falco vespertinus,237.9,106.2,151.5
Falco zoniventris,218.8,111.5,174
Herpetotheres cachinnans,272.4,217.8,623.6
Ibycter americanus,359.8,258.6,624
Micrastur buckleyi,211,178.9,464
Micrastur gilvicollis,184.8,146.7,209
Micrastur mintoni,187.6,146.7,209.5
Micrastur mirandollei,232,192.3,549
Micrastur plumbeus,173,146.3,185.4
Micrastur ruficollis,167.1,129.3,177.6
Micrastur semitorquatus,267.7,220.8,621.7
Microhierax caerulescens,102,61.4,38.7
Microhierax erythrogenys,106.6,65.9,50
Microhierax fringillarius,91.6,56.1,42.9
Microhierax latifrons,96.8,58.8,41.2
Microhierax melanoleucos,111.4,67,64.2
Milvago chimachima,285.9,199.9,315.2
Milvago chimango,294,156,296
Phalcoboenus albogularis,376.8,201.5,809
Phalcoboenus australis,420.2,254.8,1187
Phalcoboenus carunculatus,384,218.5,788
Phalcoboenus megalopterus,371.8,216,788
Polihierax insignis,142,97.2,97
Polihierax semitorquatus,115.6,72.3,61.5
Spiziapteryx circumcincta,159.8,105.2,166.2
Bucco capensis,86.7,68.5,54
Bucco macrodactylus,65,53.5,25
Bucco noanamae,79.1,63.9,42.8
Bucco tamatia,79.6,61.8,35.5
Chelidoptera tenebrosa,107.2,82.3,35.9
Hapaloptila castanea,109,81.5,80.6
Hypnelus ruficollis,87.6,67.6,49.8
Malacoptila fulvogularis,92.8,76.2,57.4
Malacoptila fusca,87.4,70.7,45.4
Malacoptila mystacalis,90.7,70.6,49
Malacoptila panamensis,87.4,68,42.6
Malacoptila rufa,86.5,68.8,47.5
Malacoptila semicincta,87.3,66.8,44
Malacoptila striata,90.7,72.6,44.1
Micromonacha lanceolata,62.9,48.1,19.8
Monasa atra,125.4,102.4,90.4
Monasa flavirostris,107.6,84.3,62.8
Monasa morphoeus,125.5,98.4,87.9
Monasa nigrifrons,127.8,106.3,80.7
Nonnula amaurocephala,59.8,50.6,15.5
Nonnula brunnea,63.2,48.4,25
Nonnula frontalis,61,49,15.7
Nonnula rubecula,65.5,51,18.4
Nonnula ruficapilla,59.8,51.1,22
Nonnula sclateri,60,49.4,16
Notharchus hyperrhynchus,114.7,83.8,95.9
Notharchus macrorhynchos,109,83,95.9
Notharchus ordii,89,71.1,52.8
Notharchus pectoralis,97.5,69.1,69.1
Notharchus swainsoni,109.6,76.3,73.8
Notharchus tectus,71.8,53,26.8
Nystalus chacuru,80.6,59.9,52.3
Nystalus maculatus,76.8,63.2,42
Nystalus obamai,87.5,69.2,43
Nystalus radiatus,91.6,69.3,61
Nystalus striolatus,81,69.9,47
Brachygalba albogularis,69.5,52.1,17.4
Brachygalba goeringi,67.8,48,17
Brachygalba lugubris,68.4,51.5,15.9
Brachygalba salmoni,70.3,51.5,17.2
Galbalcyrhynchus leucotis,87.8,66.5,46.9
Galbalcyrhynchus purusianus,86.8,67.6,50
Galbula albirostris,75.3,58.1,22.1
Galbula chalcothorax,80.8,54.5,23.9
Galbula cyanescens,76.5,55.5,25.3
Galbula cyanicollis,78.5,64.1,23.2
Galbula dea,91.2,66.5,27.4
Galbula galbula,82.5,62.2,23
Galbula leucogastra,71.8,53.5,15.9
Galbula pastazae,88.2,66.6,31.8
Galbula ruficauda,78.3,62.2,26.5
Galbula tombacea,77,64.9,23.2
Jacamaralcyon tridactyla,71.6,53.9,18.3
Jacamerops aureus,114.6,83.9,62.9
Aburria aburri,337.2,283.1,1405.1
Chamaepetes goudotii,253.4,231.1,727.7
Chamaepetes unicolor,290.4,242.2,1135
Crax alberti,401,354.1,2499.9
Crax alector,395,366.2,2872
Crax blumenbachii,384,307.1,3500
Crax daubentoni,381.2,350.6,2499.9
Crax fasciolata,349.5,332,2600
Crax globulosa,349.5,311.8,2500
